Champions Tour 2024: China Stage 1,Regular Season,Week 2,Icebox,All Gamers,"viper, raze, killjoy, kayo, harbor"
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Icebox,All Gamers,"viper, raze, killjoy, kayo, harbor"
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Icebox,All Gamers,"viper, gekko, killjoy, kayo, jett"
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Icebox,All Gamers,"viper, jett, killjoy, kayo, gekko"
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Icebox,All Gamers,"jett, killjoy, viper, kayo, gekko"
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Lotus,All Gamers,"omen, viper, killjoy, raze, fade"
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Lotus,All Gamers,"viper, raze, omen, killjoy, fade"
Champions Tour 2024: China Stage 2,Playoffs,Knockout Round,Lotus,All Gamers,"raze, omen, cypher, deadlock, fade"
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Split,All Gamers,"raze, cypher, skye, breach, astra"
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),Sunset,All Gamers,"sova, raze, omen, cypher, breach"
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Sunset,All Gamers,"sova, raze, omen, cypher, breach"
Champions Tour 2024: China Stage 1,Playoffs,Knockout Round,Sunset,All Gamers,"sova, cypher, omen, raze, breach"
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,All Gamers,"omen, raze, cypher, sova, breach"
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Sunset,All Gamers,"raze, omen, cypher, sova, breach"
Champions Tour 2024: China Stage 2,Playoffs,Knockout Round,Sunset,All Gamers,"raze, omen, cypher, gekko, breach"
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Sunset,All Gamers,"raze, gekko, omen, cypher, breach"
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Sunset,All Gamers,"omen, raze, cypher, breach, gekko"
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Sunset,All Gamers,"omen, cypher, breach, raze, gekko"
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Sunset,All Gamers,"omen, breach, cypher, gekko, raze"
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Ascent,BBL Esports,"sova, kayo, jett, omen, killjoy"
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 1,Ascent,BBL Esports,"omen, sova, kayo, killjoy, jett"
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Ascent,BBL Esports,"omen, kayo, killjoy, sova, jett"
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Ascent,BBL Esports,"omen, cypher, jett, sova, kayo"
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Ascent,BBL Esports,"omen, cypher, sova, kayo, jett"
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Ascent,BBL Esports,"omen, cypher, kayo, sova, jett"
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),Bind,BBL Esports,"viper, raze, skye, breach, brimstone"
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Bind,BBL Esports,"viper, brimstone, raze, skye, breach"
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Bind,BBL Esports,"viper, raze, skye, breach, brimstone"
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Bind,BBL Esports,"raze, viper, fade, gekko, brimstone"
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Breeze,BBL Esports,"viper, sova, kayo, jett, cypher"
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Breeze,BBL Esports,"viper, omen, sova, cypher, yoru"
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 2,Icebox,BBL Esports,"viper, omen, sova, killjoy, sage"
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 5,Icebox,BBL Esports,"viper, omen, sova, killjoy, sage"
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Lotus,BBL Esports,"omen, cypher, raze, breach, fade"
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Lotus,BBL Esports,"omen, cypher, breach, fade, neon"
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Lotus,BBL Esports,"omen, cypher, breach, neon, fade"
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),Split,BBL Esports,"viper, raze, skye, breach, omen"
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 3,Split,BBL Esports,"omen, viper, raze, skye, breach"
Champions Tour 2024: EMEA Stage 1,Regular Season,Week 4,Split,BBL Esports,"omen, viper, raze, breach, skye"
